"Method","Antigen","Batch1_mean","Batch2_mean","Batch1_median","Batch2_median","Fold_Diff_Mean","Wilcox_p","Batch_Effect_Significant"
"1_Raw (%)","gp120",16.6602380952381,5.66279069767442,14.85,4.45,2.94,0,"YES"
"1_Raw (%)","p24",11.8090476190476,3.92604651162791,9.2,3.84,3.01,0,"YES"
"2_BG_Subtracted (%)","gp120",10.8486616161616,1.2478313253012,9.66666666666667,0.5,8.69,0,"YES"
"2_BG_Subtracted (%)","p24",3.23305970149254,0.372558139534884,0.750000000000001,0.21,8.68,0.0016,"YES"
"3_N6_Normalized (% of max)","gp120",109.952651515152,91.7451054216868,97.972972972973,39.0625,1.2,0.0053,"YES"
"3_N6_Normalized (% of max)","p24",43.5135895221068,65.9776055124892,10.0942126514132,38.8888888888888,1.52,0.1016,"NO"
