"Sheet","Batch","Antigen","ControlType","NK 56bright/CD107a | Freq. of Parent___mean","NK 56bright/CD107a | Freq. of Parent___sd","NK 56bright/CD107a | Freq. of Parent___n","NK 56bright/FasL | Freq. of Parent___mean","NK 56bright/FasL | Freq. of Parent___sd","NK 56bright/FasL | Freq. of Parent___n","NK 56bright/IFNg | Freq. of Parent___mean","NK 56bright/IFNg | Freq. of Parent___sd","NK 56bright/IFNg | Freq. of Parent___n","NK 56bright/MIP1b+ | Freq. of Parent___mean","NK 56bright/MIP1b+ | Freq. of Parent___sd","NK 56bright/MIP1b+ | Freq. of Parent___n","NK CD56dim/CD107a | Freq. of Parent___mean","NK CD56dim/CD107a | Freq. of Parent___sd","NK CD56dim/CD107a | Freq. of Parent___n","NK CD56dim/FasL | Freq. of Parent___mean","NK CD56dim/FasL | Freq. of Parent___sd","NK CD56dim/FasL | Freq. of Parent___n","NK CD56dim/IFNgamma | Freq. of Parent___mean","NK CD56dim/IFNgamma | Freq. of Parent___sd","NK CD56dim/IFNgamma | Freq. of Parent___n","NK CD56dim/MIP1b+ | Freq. of Parent___mean","NK CD56dim/MIP1b+ | Freq. of Parent___sd","NK CD56dim/MIP1b+ | Freq. of Parent___n","non-NK/CD107a | Freq. of Parent___mean","non-NK/CD107a | Freq. of Parent___sd","non-NK/CD107a | Freq. of Parent___n","non-NK/FasL | Freq. of Parent___mean","non-NK/FasL | Freq. of Parent___sd","non-NK/FasL | Freq. of Parent___n","non-NK/IFNg | Freq. of Parent___mean","non-NK/IFNg | Freq. of Parent___sd","non-NK/IFNg | Freq. of Parent___n","non-NK/MIP1b+ | Freq. of Parent___mean","non-NK/MIP1b+ | Freq. of Parent___sd","non-NK/MIP1b+ | Freq. of Parent___n"
"batch 1 gp120","Batch 1","gp120","HIV_neg",0.0248,NA,1,0.0909,NA,1,0.0083,NA,1,0,NA,1,0.0596,NA,1,0.0893,NA,1,0.0271,NA,1,0.003,NA,1,0.273,NA,1,0.398,NA,1,0.0437,NA,1,0.0031,NA,1
"batch 1 gp120","Batch 1","gp120","N6_bnAb",0.128,NA,1,0.15,NA,1,0.156,NA,1,0.144,NA,1,0.155,NA,1,0.0956,NA,1,0.0886,NA,1,0.133,NA,1,0.6,NA,1,0.407,NA,1,0.0589,NA,1,0.041,NA,1
"batch 1 gp120","Batch 1","gp120","PBS",0.0353,0.0123769947887199,3,0.0928666666666667,0.0514456347354499,3,0.0115333333333333,0.0102962776445341,3,0,0,3,0.0563333333333333,0.00297040962382856,3,0.0930333333333333,0.0120093019502939,3,0.0266,0.0205124352527924,3,0.00237333333333333,0.00151661904687147,3,0.620666666666667,0.0361708906903512,3,0.553666666666667,0.141358881338716,3,0.0567666666666667,0.050232890951381,3,0.000256666666666667,0.000444559707276012,3
"batch 1 p24","Batch 1","p24","HIV_neg",0.0704,NA,1,0.0804,NA,1,0.0201,NA,1,0.0151,NA,1,0.103,NA,1,0.116,NA,1,0.0114,NA,1,0.0086,NA,1,0.648,NA,1,0.714,NA,1,0.034,NA,1,0.008,NA,1
"batch 1 p24","Batch 1","p24","N6_bnAb",0.0938,NA,1,0.172,NA,1,0.0156,NA,1,0.0104,NA,1,0.157,NA,1,0.142,NA,1,0.0155,NA,1,0.0152,NA,1,0.691,NA,1,0.711,NA,1,0.0304,NA,1,0.0047,NA,1
"batch 1 p24","Batch 1","p24","PBS",0.0419,0.0256374725743393,3,0.056,0.0101533245786786,3,0.00576666666666667,0.00506589906466101,3,0,0,3,0.0827,0.00356791255498225,3,0.0792,0.0305334243084525,3,0.0133,0.00543691088762728,3,0.0053,0.00272213151776324,3,0.573,0.0268514431641951,3,0.545666666666667,0.0730022830693214,3,0.042,0.00594306318324145,3,0.00516666666666667,0.00405503801872847,3
"batch 2 gp120","Batch 2","gp120","HIV_neg",0.0196,NA,1,0.144,NA,1,0.0131,NA,1,0.0065,NA,1,0.0441,NA,1,0.121,NA,1,0.0033,NA,1,0.0058,NA,1,0.402,NA,1,0.598,NA,1,0.0543,NA,1,0.0109,NA,1
"batch 2 gp120","Batch 2","gp120","N6_bnAb",0.0593,NA,1,0.0847,NA,1,0.0085,NA,1,0.0085,NA,1,0.0508,NA,1,0.0913,NA,1,0.0193,NA,1,0.0249,NA,1,0.425,NA,1,0.5,NA,1,0.0498,NA,1,0.0216,NA,1
"batch 2 gp120","Batch 2","gp120","PBS",0.0556,NA,1,0.111,NA,1,0.0079,NA,1,0,NA,1,0.038,NA,1,0.0818,NA,1,0.0015,NA,1,0.0056,NA,1,0.38,NA,1,0.456,NA,1,0.0473,NA,1,0.0174,NA,1
"batch 2 p24","Batch 2","p24","HIV_neg",0.0694,NA,1,0.194,NA,1,0.0139,NA,1,0.0069,NA,1,0.0401,NA,1,0.158,NA,1,0.0144,NA,1,0.0121,NA,1,0.311,NA,1,0.576,NA,1,0.0469,NA,1,0.0098,NA,1
"batch 2 p24","Batch 2","p24","N6_bnAb",0.0341,NA,1,0.0909,NA,1,0.0227,NA,1,0.0114,NA,1,0.0417,NA,1,0.133,NA,1,0.008,NA,1,0.0232,NA,1,0.373,NA,1,0.531,NA,1,0.0311,NA,1,0.0181,NA,1
"batch 2 p24","Batch 2","p24","PBS",0.0746,NA,1,0.0672,NA,1,0.0075,NA,1,0,NA,1,0.0363,NA,1,0.0797,NA,1,0.006,NA,1,0.004,NA,1,0.311,NA,1,0.455,NA,1,0.0366,NA,1,0.0055,NA,1
