"Antigen","Batch 1","Batch 2","Fold_Diff","Batch_OK","Marker"
"gp120",0.0563333333333333,0.038,1.48245614035088,TRUE,"CD56dim_CD107a"
"p24",0.0827,0.0363,2.27823691460055,TRUE,"CD56dim_CD107a"
"gp120",0.0266,0.0015,17.7333333333333,FALSE,"CD56dim_IFNg"
"p24",0.0133,0.006,2.21666666666667,TRUE,"CD56dim_IFNg"
